speciesKey,scientificName,matchType,Orig_name,nRecords
1119592,"Moneilema armatum LeConte, 1853",EXACT,"Moneilema armatum LeConte, 1853",314
7950103,"Moneilema blapsides (Newman, 1838)",EXACT,"Moneilema blapsides (Newman, 1838)",78
1119559,"Moneilema variolare Thomson, 1867",EXACT,"Moneilema variolare Thomson, 1867",9
4739415,"Monochamus alternatus Hope, 1843",EXACT,"Monochamus alternatus Hope, 1843",285
4293493,"Monochamus clamator (LeConte, 1852)",EXACT,"Monochamus clamator (LeConte, 1852)",907
8062758,"Monochamus galloprovincialis (Olivier, 1795)",EXACT,"Monochamus galloprovincialis (Olivier, 1795)",2263
1155839,"Monochamus saltuarius Gebler, 1830",EXACT,"Monochamus saltuarius Gebler, 1830",187
8265082,"Monochamus sartor (Fabricius, 1787)",EXACT,"Monochamus sartor (Fabricius, 1787)",1123
8411684,"Monochamus sutor (Linnaeus, 1758)",EXACT,"Monochamus sutor (Linnaeus, 1758)",5726
1155824,"Monochamus titillator (Fabricius, 1775)",EXACT,"Monochamus titillator (Fabricius, 1775)",342
1156052,"Monochamus urussovii (Fischer-Waldheim, 1806)",EXACT,"Monochamus urussovii (Fischer-Waldheim, 1806)",224
5748820,"Monotoma bicolor A.Villa & G.B.Villa, 1835",EXACT,"Monotoma bicolor A.Villa & G.B.Villa, 1835",644
5748801,"Monotoma longicollis (Gyllenhal, 1827)",EXACT,"Monotoma longicollis (Gyllenhal, 1827)",1019
1045818,"Monotoma picipes Herbst, 1793",EXACT,"Monotoma picipes Herbst, 1793",1471
5748793,"Monotoma quadrifoveolata Aubé, 1837",EXACT,"Monotoma quadrifoveolata Aubé, 1837",126
5748810,"Monotoma spinicollis Aubé, 1837",EXACT,"Monotoma spinicollis Aubé, 1837",774
5748794,"Monotoma testacea Motschulsky, 1845",EXACT,"Monotoma testacea Motschulsky, 1845",464
1049428,"Monoxia obesula Blake, 1939",EXACT,"Monoxia obesula Blake, 1939",13
7001809,"Mordellistena cattleyana Champion, 1913",EXACT,"Mordellistena cattleyana Champion, 1913",2
4456694,"Mordellistena multicicatrix Kangas, 1986",EXACT,"Mordellistena multicicatrix Kangas, 1986",3
1119288,"Morimus funereus Mulsant, 1862",EXACT,"Morimus funereus Mulsant, 1862",218
8518785,"Mullerister rombophorus (Aubé, 1843)",EXACT,"Mullerister rombophorus (Aubé, 1843)",5
1043751,"Murmidius ovalis (Beck, 1817)",EXACT,"Murmidius ovalis (Beck, 1817)",49
7665207,"Mycerinopsis alternans (Wiedemann, 1823)",EXACT,"Mycerinopsis alternans (Wiedemann, 1823)",193
1045482,"Mycetophagus quadriguttatus P.W.J.Müller, 1821",EXACT,"Mycetophagus quadriguttatus P.W.J.Müller, 1821",1156
