"taxon";"habitat_terrestrial";"habitat_freshwater";"habitat_brackish";"habitat_marine"
"Acacia paradoxa";1;NA;NA;0
"Acacia parramattensis";NA;NA;NA;0
"Acacia pendula";1;NA;NA;0
"Acacia penninervis";1;NA;NA;0
"Acacia podalyriifolia";1;NA;NA;0
"Acacia polystachya";1;NA;NA;0
"Acacia pravissima";NA;NA;NA;0
"Acacia prominens";NA;NA;NA;0
"Acacia provincialis";1;NA;NA;0
"Acacia pulchella";1;NA;NA;0
"Acacia pulchella glaberrima";NA;NA;NA;0
"Acacia pycnantha";1;NA;NA;0
"Acacia redolens";1;NA;NA;0
"Acacia retinodes";1;NA;NA;0
"Acacia richii";1;NA;NA;0
"Acacia rostellifera";NA;NA;NA;0
"Acacia rubida";NA;NA;NA;0
"Acacia salicina";1;NA;NA;0
"Acacia saligna";1;NA;NA;0
"Acacia schinoides";NA;NA;NA;0
"Acacia sclerosperma";1;NA;NA;0
"Acacia semicircinalis";NA;NA;NA;0
"Acacia senegal";NA;NA;NA;0
"Acacia simplex";NA;NA;NA;0
"Acacia simsii";NA;NA;NA;0
"Acacia sophorae";NA;NA;NA;0
"Acacia spectabilis";1;NA;NA;0
"Acacia spirorbis";NA;NA;NA;0
"Acacia stenophylla";NA;NA;NA;0
"Acacia stricta";1;NA;NA;0
"Acacia suaveolens";NA;NA;NA;0
"Acacia terminalis";NA;NA;NA;0
"Acacia tortuosa";NA;NA;NA;0
"Acacia trineura";NA;NA;NA;0
"Acacia truncata";1;NA;NA;0
"Acacia uncifolia";NA;NA;NA;0
"Acacia verticillata";1;NA;NA;0
"Acacia vestita";NA;NA;NA;0
"Acacia victoriae";1;NA;NA;0
"Acacia viscidula";1;NA;NA;0
"Acacia williamsonii";NA;NA;NA;0
"Acaciella angustissima";1;NA;NA;0
"Acaciella glauca";1;NA;NA;0
"Acaciella villosa";NA;NA;NA;0
"Acaena agnipila";1;NA;NA;0
"Acaena anserinifolia";1;NA;NA;0
"Acaena argentea";NA;NA;NA;0
"Acaena caesiiglauca";1;NA;NA;0
"Acaena echinata";NA;NA;NA;0
"Acaena inermis";1;NA;NA;0
"Acaena magellanica";1;NA;NA;0
"Acaena microphylla";1;NA;NA;0
"Acaena novae-zelandiae";1;NA;NA;0
"Acaena ovalifolia";1;NA;NA;0
"Acaena pallida";1;NA;NA;0
"Acallopais rudis";NA;NA;NA;0
"Acalolepta aesthetica";NA;NA;NA;0
"Acalypha alopecuroidea";1;NA;NA;0
"Acalypha alopecuroides";NA;NA;NA;0
"Acalypha amentacea";1;NA;NA;0
"Acalypha aristata";1;NA;NA;0
"Acalypha australis";1;NA;NA;0
"Acalypha brachystachya";NA;NA;NA;0
"Acalypha chamaedrifolia";1;NA;NA;0
"Acalypha ciliata";1;NA;NA;0
"Acalypha fruticosa";1;NA;NA;0
"Acalypha gracilens";1;NA;NA;0
"Acalypha grandis";NA;NA;NA;0
"Acalypha herzogiana";NA;NA;NA;0
"Acalypha hispida";1;NA;NA;0
"Acalypha indica";1;NA;NA;0
"Acalypha infesta";NA;NA;NA;0
"Acalypha integrifolia";1;NA;NA;0
"Acalypha integrifolia longifolia";NA;NA;NA;0
"Acalypha lanceolata";1;NA;NA;0
"Acalypha microphylla";NA;NA;NA;0
"Acalypha ostryifolia";1;NA;NA;0
"Acalypha poiretii";NA;NA;NA;0
"Acalypha segetalis";NA;NA;NA;0
"Acalypha setosa";NA;NA;NA;0
"Acalypha siamensis";1;NA;NA;0
"Acalypha virginica";1;NA;NA;0
"Acalypha virginica rhomboidea";NA;NA;NA;0
"Acalypha wilkesiana";1;NA;NA;0
"Acalypta parvula";NA;NA;NA;0
"Acalyptris platani";1;NA;NA;0
"Acanalonia conica";NA;NA;NA;0
"Acanalonia excavata";NA;NA;NA;0
"Acantharctus posteli";NA;0;0;1
"Acanthaster planci";0;0;0;1
"Acanthis flammea";1;0;0;0
"Acanthobrama lissneri";0;1;0;0
"Acanthobrama microlepis";0;1;0;0
"Acanthocephalus anguillae";NA;1;0;1
"Acanthocephalus benthamianus";1;0;NA;0
"Acanthocereus tetragonus";1;0;NA;0
"Acanthochromis polyacanthus";0;0;0;1
"Acanthocinus carinulatus";1;NA;NA;0
"Acanthocinus griseus";1;NA;NA;0
"Acanthocinus reticulatus";1;NA;NA;0
"Acanthocnemus nigricans";1;NA;NA;0
"Acanthogobius flavimanus";0;1;1;1
"Acantholobulus pacificus";NA;0;0;1
"Acantholybas brunneus";NA;NA;NA;0
"Acantholyda erythrocephala";1;NA;NA;0
"Acanthomysis aspera";0;0;0;1
"Acanthomysis hwanhaiensis";0;0;0;1
"Acanthopagrus bifasciatus";0;0;1;1
"Acanthophis antarcticus";1;NA;NA;NA
"Acanthophis praelongus";1;NA;NA;NA
"Acanthophora muscoides";NA;0;0;1
"Acanthophora nayadiformis";NA;0;0;1
"Acanthophora spicifera";NA;0;0;1
"Acanthopleura gemmata";NA;0;0;1
"Acanthorrhinum ramosissimum";1;NA;NA;0
"Acanthoscelides macrophthalmus";1;NA;NA;0
"Acanthoscelides obtectus";1;NA;NA;0
"Acanthoscelides quadridentatus";NA;NA;NA;0
"Acanthosiphonia echinata";NA;NA;NA;1
"Acanthospermum australe";1;0;NA;0
"Acanthospermum glabratum";1;0;NA;0
"Acanthospermum hispidum";1;0;NA;0
"Acanthospermum humile";1;0;NA;0
"Acanthoxyla geisovii";NA;NA;NA;0
"Acanthoxyla inermis";1;NA;NA;0
"Acanthuchus trispinifer";NA;NA;NA;0
"Acanthurus achilles";0;0;0;1
"Acanthurus chirurgus";0;0;0;1
"Acanthurus coeruleus";0;0;0;1
"Acanthurus guttatus";0;0;0;1
"Acanthurus monroviae";0;0;1;1
"Acanthurus pyroferus";0;0;1;1
"Acanthurus sohal";0;0;0;1
"Acanthus arboreus";1;NA;NA;0
"Acanthus hungaricus";1;NA;NA;0
"Acanthus mollis";1;NA;NA;0
"Acanthus montanus";1;NA;NA;0
"Acanthus polystachyus";1;NA;NA;0
"Acanthus pubescens";NA;NA;NA;0
"Acanthus spinosus";1;NA;NA;0
"Acantopsis dialuzona";0;1;0;0
"Acar plicata";0;0;0;1
"Acarichthys heckelii";0;1;0;0
"Acartia (Acanthacartia) fossae";0;0;NA;1
"Acartia (Acanthacartia) tonsa";0;0;NA;1
"Acartia (Acartiura) clausi";0;0;NA;1
"Acartia (Acartiura) margalefi";0;0;NA;1
"Acartia (Acartiura) omorii";0;0;NA;1
"Acartia (Odontacartia) centrura";0;0;NA;1
"Acartia (Odontacartia) spinicauda";0;0;NA;1
"Acartia centrura";0;0;1;1
"Acartia clausi";0;0;1;1
"Acartia fossae";0;0;NA;1
"Acartia margalefi";0;0;NA;1
"Acartia omorii";0;0;NA;1
"Acartia spinicauda";0;0;1;1
"Acartia tonsa";1;0;1;1
"Acartiella sinensis";0;0;0;1
"Acarus siro";1;0;NA;0
"Acaudaleyrodes rachipora";NA;NA;NA;0
"Accanthopus velikensis";1;NA;NA;0
"Accipiter badius";1;0;0;0
"Accipiter gentilis";1;0;0;0
"Accipiter rufiventris";1;0;0;0
"Acentria ephemerella";NA;NA;NA;0
"Acentrogobius pflaumii";0;0;1;1
"Acer barbinerve";NA;NA;NA;0
"Acer buergerianum";1;NA;NA;0
"Acer campestre";1;NA;NA;0
"Acer cappadocicum";1;NA;NA;0
"Acer circinatum";1;NA;NA;0
"Acer cissifolium";1;NA;NA;0
"Acer heldreichii";1;NA;NA;0
"Acer japonicum";NA;NA;NA;0
"Acer macrophyllum";1;NA;NA;0
"Acer mandshuricum";NA;NA;NA;0
"Acer monspessulanum";1;NA;NA;0
"Acer negundo";1;NA;NA;0
"Acer negundo negundo";1;NA;NA;0
"Acer oblongum";1;NA;NA;0
"Acer obtusatum";1;NA;NA;0
"Acer palmatum";1;NA;NA;0
"Acer pensylvanicum";1;NA;NA;0
"Acer pentaphyllum";1;NA;NA;0
"Acer pictum";NA;NA;NA;0
"Acer platanoides";1;NA;NA;0
"Acer pseudoplatanus";1;NA;NA;0
"Acer pseudosieboldianum";NA;NA;NA;0
"Acer rubrum";1;NA;NA;0
"Acer rufinerve";1;NA;NA;0
"Acer saccharinum";1;NA;NA;0
"Acer saccharum";1;NA;NA;0
"Acer saccharum schneckii";NA;NA;NA;0
"Acer sieboldianum";NA;NA;NA;0
