scientificName,Taxon,phylum,class
"Insulodrilus Brinkhurst, 1965",Insulodrilus,Annelida,Clitellata
"Isochaetides michaelseni (Lastočkin, 1937)",Isochaetides michaelseni,Annelida,Clitellata
"Limnodrilus cervix Brinkhurst, 1963",Limnodrilus cervix,Annelida,Clitellata
"Limnodrilus maumeensis Brinkhurst & Cook, 1966",Limnodrilus maumeensis,Annelida,Clitellata
"Limnodrilus profundicola (Verrill, 1871)",Limnodrilus profundicola,Annelida,Clitellata
"Limnodrilus tortilipenis Wetzel, 1987",Limnodrilus tortilipenis,Annelida,Clitellata
"Monopylephorus limosus (Hatai, 1898)",Monopylephorus limosus,Annelida,Clitellata
"Ocnerodrilus occidentalis Eisen, 1878",Ocnerodrilus occidentalis,Annelida,Clitellata
"Paranais botniensis Sperber, 1948",Paranais botniensis,Annelida,Clitellata
"Paranais frici Hrabĕ, 1941",Paranais frici,Annelida,Clitellata
"Phoenicodrilus taste Eisen, 1895",Phoenicodrilus taste,Annelida,Clitellata
"Potamothrix bavaricus (Oschmann, 1913)",Potamothrix bavaricus,Annelida,Clitellata
"Potamothrix bedoti (Piguet, 1913)",Potamothrix bedoti,Annelida,Clitellata
"Potamothrix hammoniensis (Michaelsen, 1901)",Potamothrix hammoniensis,Annelida,Clitellata
"Potamothrix heuscheri (Bretscher, 1900)",Potamothrix heuscheri,Annelida,Clitellata
"Potamothrix moldaviensis (Vejdovský & Mrázek, 1903)",Potamothrix moldaviensis,Annelida,Clitellata
"Potamothrix vejdovskyi (Hrabĕ, 1941)",Potamothrix vejdovskyi,Annelida,Clitellata
"Pristina acuminata Liang, 1958",Pristina acuminata,Annelida,Clitellata
"Psammoryctides deserticola (Grimm, 1877)",Psammoryctides deserticola,Annelida,Clitellata
"Psammoryctides moravicus (Hrabĕ, 1934)",Psammoryctides moravicus,Annelida,Clitellata
"Quistadrilus multisetosus (Smith, 1900)",Quistadrilus multisetosus,Annelida,Clitellata
"Ripistes parasita (Schmidt, 1847)",Ripistes parasita,Annelida,Clitellata
"Spirosperma ferox Eisen, 1879",Spirosperma ferox,Annelida,Clitellata
"Tasserkidrilus americanus (Brinkhurst & Cook, 1966)",Tasserkidrilus americanus,Annelida,Clitellata
"Teneridrilus mastix (Brinkhurst, 1978)",Teneridrilus mastix,Annelida,Clitellata
"Tubifex blanchardi Vejdovsky, 1891",Tubifex blanchardi,Annelida,Clitellata
"Tubifex newaensis (Michaelsen, 1903)",Tubifex newaensis,Annelida,Clitellata
"Tubificoides benedii (d'Udekem, 1855)",Tubificoides benedii,Annelida,Clitellata
"Tubificoides diazi Brinkhurst & Baker, 1979",Tubificoides diazi,Annelida,Clitellata
"Tubificoides heterochaetus (Michaelsen, 1926)",Tubificoides heterochaetus,Annelida,Clitellata
"Tubificoides pseudogaster (Dahl, 1960)",Tubificoides pseudogaster,Annelida,Clitellata
"Varichaetadrilus angustipenis (Brinkhurst & Cook, 1966)",Varichaetadrilus angustipenis,Annelida,Clitellata
"Vejdovskyella intermedia (Bretscher, 1896)",Vejdovskyella intermedia,Annelida,Clitellata
"Stylodrilus heringianus Claparède, 1862",Stylodrilus heringianus,Annelida,Clitellata
"Amyntas aeruginosus Kinberg, 1866",Amyntas aeruginosus,Annelida,Clitellata
"Amynthas agrestis (Goto & Hatai, 1899)",Amynthas agrestis,Annelida,Clitellata
"Amynthas corticis (Kinberg, 1867)",Amynthas corticis,Annelida,Clitellata
"Megascolex diffringens Baird, 1869",Megascolex diffringens,Annelida,Clitellata
"Nitocris gracilis Kinberg, 1867",Nitocris gracilis,Annelida,Clitellata
"Perichaeta bicincta Perrier, 1875",Perichaeta bicincta,Annelida,Clitellata
"Perichaeta elongata Perrier, 1872",Perichaeta elongata,Annelida,Clitellata
"Perichaeta hawayana Rosa, 1891",Perichaeta hawayana,Annelida,Clitellata
"Perichaeta heterochaeta Michaelsen, 1891",Perichaeta heterochaeta,Annelida,Clitellata
"Perichaeta hilgendorfi Michaelsen, 1892",Perichaeta hilgendorfi,Annelida,Clitellata
"Perichaeta houlleti Perrier, 1872",Perichaeta houlleti,Annelida,Clitellata
"Perichaeta hupeiensis Michaelsen, 1895",Perichaeta hupeiensis,Annelida,Clitellata
"Perichaeta minima Horst, 1893",Perichaeta minima,Annelida,Clitellata
"Perichaeta morrisi Beddard, 1892",Perichaeta morrisi,Annelida,Clitellata
"Perichaeta posthuma Vaillant, 1868",Perichaeta posthuma,Annelida,Clitellata
"Perichaeta rodericensis Grube, 1879",Perichaeta rodericensis,Annelida,Clitellata
"Perichaeta taprobanae Beddard, 1892",Perichaeta taprobanae,Annelida,Clitellata
"Perichaeta tokioensis Beddard, 1892",Perichaeta tokioensis,Annelida,Clitellata
"Perionyx excavatus Perrier, 1872",Perionyx excavatus,Annelida,Clitellata
"Pheretima californica Kinberg, 1866",Pheretima californica,Annelida,Clitellata
"Pheretima loveridgei Gates, 1968",Pheretima loveridgei,Annelida,Clitellata
"Pontodrilus litoralis (Grube, 1855)",Pontodrilus litoralis,Annelida,Clitellata
"Caspiobdella fadejewi Epshtein, 1961",Caspiobdella fadejewi,Annelida,Clitellata
"Cystobranchus fasciatus (Kollar, 1842)",Cystobranchus fasciatus,Annelida,Clitellata
"Helobdella europaea Kutschera, 1987",Helobdella europaea,Annelida,Clitellata
"Helobdella punctatolineata Moore, 1939",Helobdella punctatolineata,Annelida,Clitellata
"Myzobdella lugubris Leidy, 1851",Myzobdella lugubris,Annelida,Clitellata
"Piscicola geometra (Linnaeus, 1761)",Piscicola geometra,Annelida,Clitellata
"Piscicola haranti Jarry, 1960",Piscicola haranti,Annelida,Clitellata
