scientificName,Taxon,phylum,class
"Minla ignotincta Hodgson, 1837",Minla ignotincta,Chordata,Aves
"Minla strigula (Hodgson, 1837)",Minla strigula,Chordata,Aves
"Mirafra javanica Horsfield, 1821",Mirafra javanica,Chordata,Aves
"Mohoua albicilla (Lesson, 1830)",Mohoua albicilla,Chordata,Aves
"Mohoua ochrocephala (Gmelin, 1789)",Mohoua ochrocephala,Chordata,Aves
"Molothrus ater (Boddaert, 1783)",Molothrus ater,Chordata,Aves
"Molothrus bonariensis (Gmelin, 1789)",Molothrus bonariensis,Chordata,Aves
"Monticola solitarius (Linnaeus, 1758)",Monticola solitarius,Chordata,Aves
"Montifringilla nivalis (Linnaeus, 1766)",Montifringilla nivalis,Chordata,Aves
"Motacilla citreola Pallas, 1776",Motacilla citreola,Chordata,Aves
"Mycerobas affinis (Blyth, 1855)",Mycerobas affinis,Chordata,Aves
"Mycerobas carnipes (Hodgson, 1836)",Mycerobas carnipes,Chordata,Aves
"Mycerobas icterioides (Vigors, 1830)",Mycerobas icterioides,Chordata,Aves
"Myiomela leucura (Hodgson, 1845)",Myiomela leucura,Chordata,Aves
"Nectarinia tacazze (Stanley, 1814)",Nectarinia tacazze,Chordata,Aves
"Neochmia modesta (Gould, 1837)",Neochmia modesta,Chordata,Aves
"Neochmia ruficauda (Gould, 1837)",Neochmia ruficauda,Chordata,Aves
"Neochmia temporalis (Latham, 1802)",Neochmia temporalis,Chordata,Aves
"Niltava macgrigoriae (Burton, 1836)",Niltava macgrigoriae,Chordata,Aves
"Niltava vivida (Swinhoe, 1864)",Niltava vivida,Chordata,Aves
"Notiomystis cincta (Du Bus de Gisignies, 1839)",Notiomystis cincta,Chordata,Aves
"Onychognathus morio (Linnaeus, 1766)",Onychognathus morio,Chordata,Aves
"Onychognathus nabouroup (Daudin, 1800)",Onychognathus nabouroup,Chordata,Aves
"Onychognathus tristramii (P.L.Sclater, 1858)",Onychognathus tristramii,Chordata,Aves
"Oriolus auratus Vieillot, 1817",Oriolus auratus,Chordata,Aves
"Oriolus chinensis Linnaeus, 1766",Oriolus chinensis,Chordata,Aves
"Oriolus larvatus Lichtenstein, 1823",Oriolus larvatus,Chordata,Aves
"Oriolus xanthornus (Linnaeus, 1758)",Oriolus xanthornus,Chordata,Aves
"Oryzoborus angolensis (Linnaeus, 1766)",Oryzoborus angolensis,Chordata,Aves
"Paludipasser locustella Neave, 1909",Paludipasser locustella,Chordata,Aves
"Panurus biarmicus (Linnaeus, 1758)",Panurus biarmicus,Chordata,Aves
"Paradisaea apoda Linnaeus, 1758",Paradisaea apoda,Chordata,Aves
"Paroaria capitata (d'Orbigny & Lafresnaye, 1837)",Paroaria capitata,Chordata,Aves
"Paroaria coronata (J.F.Miller, 1776)",Paroaria coronata,Chordata,Aves
"Paroaria dominicana (Linnaeus, 1758)",Paroaria dominicana,Chordata,Aves
"Paroaria gularis (Linnaeus, 1766)",Paroaria gularis,Chordata,Aves
"Paroaria nigrogenis (Lafresnaye, 1846)",Paroaria nigrogenis,Chordata,Aves
"Parus afer Gmelin, 1789",Parus afer,Chordata,Aves
"Parus major Linnaeus, 1758",Parus major,Chordata,Aves
"Parus monticolus Vigors, 1831",Parus monticolus,Chordata,Aves
"Parus spilonotus Bonaparte, 1850",Parus spilonotus,Chordata,Aves
Parus varius,Parus varius,Chordata,Aves
"Passer castanopterus Blyth, 1855",Passer castanopterus,Chordata,Aves
"Passer domesticus (Linnaeus, 1758)",Passer domesticus,Chordata,Aves
"Passer euchlorus (Bonaparte, 1850)",Passer euchlorus,Chordata,Aves
"Passer hispaniolensis (Temminck, 1820)",Passer hispaniolensis,Chordata,Aves
"Passer luteus (Lichtenstein, 1823)",Passer luteus,Chordata,Aves
"Passer montanus (Linnaeus, 1758)",Passer montanus,Chordata,Aves
"Passerella iliaca (Merrem, 1786)",Passerella iliaca,Chordata,Aves
"Passerina amoena (Say, 1822)",Passerina amoena,Chordata,Aves
"Passerina caerulea (Linnaeus, 1758)",Passerina caerulea,Chordata,Aves
"Passerina ciris (Linnaeus, 1758)",Passerina ciris,Chordata,Aves
"Passerina cyanea (Linnaeus, 1766)",Passerina cyanea,Chordata,Aves
"Passerina leclancherii Lafresnaye, 1840",Passerina leclancherii,Chordata,Aves
"Passerina versicolor (Bonaparte, 1838)",Passerina versicolor,Chordata,Aves
"Pastor roseus (Linnaeus, 1758)",Pastor roseus,Chordata,Aves
"Periparus ater (Linnaeus, 1758)",Periparus ater,Chordata,Aves
"Periparus venustulus (Swinhoe, 1870)",Periparus venustulus,Chordata,Aves
"Petroica australis (Sparrman, 1788)",Petroica australis,Chordata,Aves
"Petroica traversi (Buller, 1872)",Petroica traversi,Chordata,Aves
"Pheucticus chrysopeplus (Vigors, 1832)",Pheucticus chrysopeplus,Chordata,Aves
"Pheucticus ludovicianus (Linnaeus, 1766)",Pheucticus ludovicianus,Chordata,Aves
"Pheucticus melanocephalus (Swainson, 1827)",Pheucticus melanocephalus,Chordata,Aves
"Philesturnus carunculatus (Gmelin, 1789)",Philesturnus carunculatus,Chordata,Aves
"Phoenicurus auroreus (Pallas, 1776)",Phoenicurus auroreus,Chordata,Aves
"Phoenicurus erythrogastrus (Guldenstadt, 1775)",Phoenicurus erythrogastrus,Chordata,Aves
"Phoenicurus frontalis Vigors, 1832",Phoenicurus frontalis,Chordata,Aves
"Phoenicurus ochruros (S.G.Gmelin, 1774)",Phoenicurus ochruros,Chordata,Aves
"Pica pica (Linnaeus, 1758)",Pica pica,Chordata,Aves
"Pipilo maculatus Swainson, 1827",Pipilo maculatus,Chordata,Aves
"Piranga olivacea (J.F.Gmelin, 1789)",Piranga olivacea,Chordata,Aves
"Piranga rubra (Linnaeus, 1758)",Piranga rubra,Chordata,Aves
"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,Chordata,Aves
"Pitta guajana (Statius Muller, 1776)",Pitta guajana,Chordata,Aves
"Pitta moluccensis (Statius Muller, 1776)",Pitta moluccensis,Chordata,Aves
"Pitta versicolor Swainson, 1825",Pitta versicolor,Chordata,Aves
"Ploceus aurantius (Vieillot, 1805)",Ploceus aurantius,Chordata,Aves
"Ploceus benghalensis (Linnaeus, 1758)",Ploceus benghalensis,Chordata,Aves
"Ploceus capensis (Linnaeus, 1766)",Ploceus capensis,Chordata,Aves
"Ploceus castaneiceps (Sharpe, 1890)",Ploceus castaneiceps,Chordata,Aves
"Ploceus cucullatus (Statius Muller, 1776)",Ploceus cucullatus,Chordata,Aves
"Ploceus galbula Rüppell, 1840",Ploceus galbula,Chordata,Aves
"Ploceus intermedius Rüppell, 1845",Ploceus intermedius,Chordata,Aves
"Ploceus jacksoni Shelley, 1888",Ploceus jacksoni,Chordata,Aves
"Ploceus manyar (Horsfield, 1821)",Ploceus manyar,Chordata,Aves
"Ploceus melanocephalus (Linnaeus, 1758)",Ploceus melanocephalus,Chordata,Aves
"Ploceus nigerrimus Vieillot, 1819",Ploceus nigerrimus,Chordata,Aves
"Ploceus philippinus (Linnaeus, 1766)",Ploceus philippinus,Chordata,Aves
"Ploceus rubiginosus Rüppell, 1840",Ploceus rubiginosus,Chordata,Aves
"Ploceus subaureus A.Smith, 1839",Ploceus subaureus,Chordata,Aves
"Ploceus velatus Vieillot, 1819",Ploceus velatus,Chordata,Aves
"Ploceus vitellinus (Lichtenstein, 1823)",Ploceus vitellinus,Chordata,Aves
"Poecile palustris (Linnaeus, 1758)",Poecile palustris,Chordata,Aves
"Poephila acuticauda (Gould, 1840)",Poephila acuticauda,Chordata,Aves
"Pomarea dimidiata (Hartlaub & Finsch, 1871)",Pomarea dimidiata,Chordata,Aves
"Pomatorhinus ruficollis Hodgson, 1836",Pomatorhinus ruficollis,Chordata,Aves
"Prinia flaviventris (Delessert, 1840)",Prinia flaviventris,Chordata,Aves
"Prinia gracilis (Lichtenstein, 1823)",Prinia gracilis,Chordata,Aves
"Prunella modularis (Linnaeus, 1758)",Prunella modularis,Chordata,Aves
"Psarocolius montezuma (Lesson, 1830)",Psarocolius montezuma,Chordata,Aves
"Pseudonigrita arnaudi (Bonaparte, 1850)",Pseudonigrita arnaudi,Chordata,Aves
"Psittiparus gularis (G.R.Gray, 1845)",Psittiparus gularis,Chordata,Aves
"Ptilonorhynchus violaceus (Vieillot, 1816)",Ptilonorhynchus violaceus,Chordata,Aves
"Pycnonotus atriceps (Temminck, 1822)",Pycnonotus atriceps,Chordata,Aves
"Pycnonotus aurigaster (Vieillot, 1818)",Pycnonotus aurigaster,Chordata,Aves
"Pycnonotus barbatus (Desfontaines, 1789)",Pycnonotus barbatus,Chordata,Aves
"Pycnonotus bimaculatus (Horsfield, 1821)",Pycnonotus bimaculatus,Chordata,Aves
"Pycnonotus cafer (Linnaeus, 1766)",Pycnonotus cafer,Chordata,Aves
"Pycnonotus goiavier (Scopoli, 1786)",Pycnonotus goiavier,Chordata,Aves
"Pycnonotus jocosus (Linnaeus, 1758)",Pycnonotus jocosus,Chordata,Aves
"Pycnonotus leucogenys (J.E.Gray, 1835)",Pycnonotus leucogenys,Chordata,Aves
"Pycnonotus leucotis (Gould, 1836)",Pycnonotus leucotis,Chordata,Aves
"Pycnonotus melanicterus (Gmelin, 1789)",Pycnonotus melanicterus,Chordata,Aves
"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotus sinensis,Chordata,Aves
"Pycnonotus xanthopygos (Hemprich & Ehrenberg, 1833)",Pycnonotus xanthopygos,Chordata,Aves
"Pycnonotus xanthorrhous Anderson, 1869",Pycnonotus xanthorrhous,Chordata,Aves
"Pyrenestes sanguineus Swainson, 1837",Pyrenestes sanguineus,Chordata,Aves
"Pyrrhocorax graculus (Linnaeus, 1766)",Pyrrhocorax graculus,Chordata,Aves
"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",Pyrrhocorax pyrrhocorax,Chordata,Aves
"Pyrrhula erythaca Blyth, 1862",Pyrrhula erythaca,Chordata,Aves
"Pyrrhula pyrrhula (Linnaeus, 1758)",Pyrrhula pyrrhula,Chordata,Aves
"Pytilia melba (Linnaeus, 1758)",Pytilia melba,Chordata,Aves
"Pytilia phoenicoptera Swainson, 1837",Pytilia phoenicoptera,Chordata,Aves
"Quelea erythrops (Hartlaub, 1848)",Quelea erythrops,Chordata,Aves
"Quelea quelea (Linnaeus, 1758)",Quelea quelea,Chordata,Aves
"Quiscalus lugubris Swainson, 1838",Quiscalus lugubris,Chordata,Aves
"Quiscalus major Vieillot, 1819",Quiscalus major,Chordata,Aves
"Quiscalus mexicanus (Gmelin, 1788)",Quiscalus mexicanus,Chordata,Aves
"Quiscalus niger (Boddaert, 1783)",Quiscalus niger,Chordata,Aves
"Quiscalus quiscula (Linnaeus, 1758)",Quiscalus quiscula,Chordata,Aves
"Ramphocelus bresilius (Linnaeus, 1766)",Ramphocelus bresilius,Chordata,Aves
"Ramphocelus carbo (Pallas, 1764)",Ramphocelus carbo,Chordata,Aves
"Ramphocelus dimidiatus Lafresnaye, 1837",Ramphocelus dimidiatus,Chordata,Aves
"Regulus ignicapilla (Temminck, 1820)",Regulus ignicapilla,Chordata,Aves
"Rhipidura albicollis (Vieillot, 1818)",Rhipidura albicollis,Chordata,Aves
"Rhipidura leucophrys (Latham, 1802)",Rhipidura leucophrys,Chordata,Aves
"Rhodospiza obsoleta (M.H.K.Lichtenstein, 1823)",Rhodospiza obsoleta,Chordata,Aves
"Saxicola caprata (Linnaeus, 1766)",Saxicola caprata,Chordata,Aves
"Serinus alario (Linnaeus, 1758)",Serinus alario,Chordata,Aves
Serinus alario alario,Serinus alario alario,Chordata,Aves
"Serinus canaria (Linnaeus, 1758)",Serinus canaria,Chordata,Aves
"Serinus canicollis (Swainson, 1838)",Serinus canicollis,Chordata,Aves
"Serinus pusillus (Pallas, 1811)",Serinus pusillus,Chordata,Aves
"Serinus serinus (Linnaeus, 1766)",Serinus serinus,Chordata,Aves
"Setophaga americana (Linnaeus, 1758)",Setophaga americana,Chordata,Aves
"Setophaga magnolia (A.Wilson, 1811)",Setophaga magnolia,Chordata,Aves
"Setophaga palmarum (J.F.Gmelin, 1789)",Setophaga palmarum,Chordata,Aves
"Setophaga ruticilla (Linnaeus, 1758)",Setophaga ruticilla,Chordata,Aves
"Setophaga striata (J.R.Forster, 1772)",Setophaga striata,Chordata,Aves
"Sialia mexicana Swainson, 1832",Sialia mexicana,Chordata,Aves
"Sialia sialis (Linnaeus, 1758)",Sialia sialis,Chordata,Aves
"Sicalis flaveola (Linnaeus, 1766)",Sicalis flaveola,Chordata,Aves
"Sicalis luteola (Sparrman, 1789)",Sicalis luteola,Chordata,Aves
"Sinosuthora alphonsiana (J.Verreaux, 1870)",Sinosuthora alphonsiana,Chordata,Aves
"Sinosuthora webbiana (Gould, 1852)",Sinosuthora webbiana,Chordata,Aves
"Sitta europaea Linnaeus, 1758",Sitta europaea,Chordata,Aves
"Sitta frontalis Swainson, 1820",Sitta frontalis,Chordata,Aves
"Spermophaga haematina (Vieillot, 1807)",Spermophaga haematina,Chordata,Aves
"Spinus cucullatus (Swainson, 1820)",Spinus cucullatus,Chordata,Aves
"Spinus notatus (Du Bus de Gisignies, 1847)",Spinus notatus,Chordata,Aves
"Spinus psaltria (Say, 1822)",Spinus psaltria,Chordata,Aves
"Spinus spinus (Linnaeus, 1758)",Spinus spinus,Chordata,Aves
"Spinus tristis (Linnaeus, 1758)",Spinus tristis,Chordata,Aves
"Spinus yarrellii (Audubon, 1839)",Spinus yarrellii,Chordata,Aves
"Spizixos semitorques Swinhoe, 1861",Spizixos semitorques,Chordata,Aves
"Spodiopsar cineraceus (Temminck, 1835)",Spodiopsar cineraceus,Chordata,Aves
"Spodiopsar sericeus (Gmelin, 1789)",Spodiopsar sericeus,Chordata,Aves
"Sporophila albogularis (von Spix, 1825)",Sporophila albogularis,Chordata,Aves
"Sporophila torqueola (Bonaparte, 1850)",Sporophila torqueola,Chordata,Aves
"Sporopipes squamifrons (A.Smith, 1836)",Sporopipes squamifrons,Chordata,Aves
"Stachyridopsis ruficeps (Blyth, 1847)",Stachyridopsis ruficeps,Chordata,Aves
"Stagonopleura bella (Latham, 1802)",Stagonopleura bella,Chordata,Aves
"Stagonopleura guttata (Shaw, 1796)",Stagonopleura guttata,Chordata,Aves
"Strepera graculina (Shaw, 1790)",Strepera graculina,Chordata,Aves
"Strepera versicolor (Latham, 1802)",Strepera versicolor,Chordata,Aves
"Sturnella bellicosa Filippi, 1847",Sturnella bellicosa,Chordata,Aves
"Sturnella loyca (Molina, 1782)",Sturnella loyca,Chordata,Aves
"Sturnella magna (Linnaeus, 1758)",Sturnella magna,Chordata,Aves
"Sturnella militaris (Linnaeus, 1758)",Sturnella militaris,Chordata,Aves
"Sturnella neglecta Audubon, 1844",Sturnella neglecta,Chordata,Aves
"Sturnia erythropygia Blyth, 1846",Sturnia erythropygia,Chordata,Aves
"Sturnia malabarica (Gmelin, 1789)",Sturnia malabarica,Chordata,Aves
"Sturnia pagodarum (Gmelin, 1789)",Sturnia pagodarum,Chordata,Aves
"Sturnia sinensis (Gmelin, 1788)",Sturnia sinensis,Chordata,Aves
"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,Chordata,Aves
"Sylvia atricapilla (Linnaeus, 1758)",Sylvia atricapilla,Chordata,Aves
"Sylvia communis Latham, 1787",Sylvia communis,Chordata,Aves
"Tachyphonus rufus (Boddaert, 1783)",Tachyphonus rufus,Chordata,Aves
"Taeniopygia bichenovii (Vigors & Horsfield, 1827)",Taeniopygia bichenovii,Chordata,Aves
"Taeniopygia guttata (Vieillot, 1817)",Taeniopygia guttata,Chordata,Aves
"Tangara arthus Lesson, 1832",Tangara arthus,Chordata,Aves
"Tangara fastuosa (Lesson, 1831)",Tangara fastuosa,Chordata,Aves
"Tangara larvata (Du Bus de Gisignies, 1846)",Tangara larvata,Chordata,Aves
"Tangara nigrocincta (Bonaparte, 1838)",Tangara nigrocincta,Chordata,Aves
"Tarsiger cyanurus (Pallas, 1773)",Tarsiger cyanurus,Chordata,Aves
"Telespiza cantans S.B.Wilson, 1890",Telespiza cantans,Chordata,Aves
"Telespiza ultima Bryan, 1917",Telespiza ultima,Chordata,Aves
"Tersina viridis (Illiger, 1811)",Tersina viridis,Chordata,Aves
"Thraupis episcopus (Linnaeus, 1766)",Thraupis episcopus,Chordata,Aves
"Thraupis palmarum (zu Wied-Neuwied, 1821)",Thraupis palmarum,Chordata,Aves
"Tiaris bicolor (Linnaeus, 1766)",Tiaris bicolor,Chordata,Aves
"Tiaris canorus (J.F.Gmelin, 1789)",Tiaris canorus,Chordata,Aves
"Tiaris olivaceus (Linnaeus, 1766)",Tiaris olivaceus,Chordata,Aves
"Timalia pileata Horsfield, 1821",Timalia pileata,Chordata,Aves
"Tityra cayana (Linnaeus, 1766)",Tityra cayana,Chordata,Aves
"Trochalopteron elliotii J.Verreaux, 1870",Trochalopteron elliotii,Chordata,Aves
"Trochalopteron erythrocephalum (Vigors, 1832)",Trochalopteron erythrocephalum,Chordata,Aves
"Trochalopteron formosum J.Verreaux, 1869",Trochalopteron formosum,Chordata,Aves
"Trochalopteron milnei David, 1874",Trochalopteron milnei,Chordata,Aves
"Turdus dissimilis Blyth, 1847",Turdus dissimilis,Chordata,Aves
"Turdus falcklandii Quoy & Gaimard, 1824",Turdus falcklandii,Chordata,Aves
"Turdus grayi Bonaparte, 1838",Turdus grayi,Chordata,Aves
"Turdus hortulorum P.L.Sclater, 1863",Turdus hortulorum,Chordata,Aves
"Turdus iliacus Linnaeus, 1758",Turdus iliacus,Chordata,Aves
"Turdus kessleri (Prjevalsky, 1876)",Turdus kessleri,Chordata,Aves
"Turdus merula Linnaeus, 1758",Turdus merula,Chordata,Aves
"Turdus migratorius Linnaeus, 1766",Turdus migratorius,Chordata,Aves
"Turdus naumanni Temminck, 1820",Turdus naumanni,Chordata,Aves
"Turdus nudigenis Lafresnaye, 1848",Turdus nudigenis,Chordata,Aves
"Turdus philomelos C.L.Brehm, 1831",Turdus philomelos,Chordata,Aves
"Turdus plumbeus Linnaeus, 1758",Turdus plumbeus,Chordata,Aves
"Turdus poliocephalus Latham, 1802",Turdus poliocephalus,Chordata,Aves
"Turdus ruficollis Pallas, 1776",Turdus ruficollis,Chordata,Aves
"Turdus rufopalliatus Lafresnaye, 1840",Turdus rufopalliatus,Chordata,Aves
"Turdus tephronotus Cabanis, 1878",Turdus tephronotus,Chordata,Aves
"Tyrannus savana Vieillot, 1808",Tyrannus savana,Chordata,Aves
"Uraeginthus angolensis (Linnaeus, 1758)",Uraeginthus angolensis,Chordata,Aves
"Uraeginthus bengalus (Linnaeus, 1766)",Uraeginthus bengalus,Chordata,Aves
"Uraeginthus cyanocephalus (Richmond, 1897)",Uraeginthus cyanocephalus,Chordata,Aves
"Uraeginthus granatinus (Linnaeus, 1766)",Uraeginthus granatinus,Chordata,Aves
"Urocissa caerulea Gould, 1863",Urocissa caerulea,Chordata,Aves
"Urocissa erythroryncha (Boddaert, 1783)",Urocissa erythroryncha,Chordata,Aves
"Vidua chalybeata (Statius Muller, 1776)",Vidua chalybeata,Chordata,Aves
"Vidua fischeri (Reichenow, 1882)",Vidua fischeri,Chordata,Aves
"Vidua macroura (Pallas, 1764)",Vidua macroura,Chordata,Aves
"Vidua paradisaea (Linnaeus, 1758)",Vidua paradisaea,Chordata,Aves
"Vidua regia (Linnaeus, 1766)",Vidua regia,Chordata,Aves
"Vireo altiloquus (Vieillot, 1808)",Vireo altiloquus,Chordata,Aves
"Xanthocephalus xanthocephalus (Bonaparte, 1826)",Xanthocephalus xanthocephalus,Chordata,Aves
"Xenicus longipes (Gmelin, 1789)",Xenicus longipes,Chordata,Aves
"Yuhina diademata J.Verreaux, 1869",Yuhina diademata,Chordata,Aves
"Zonotrichia albicollis (J.F.Gmelin, 1789)",Zonotrichia albicollis,Chordata,Aves
"Zonotrichia capensis (P.L.Statius Müller, 1776)",Zonotrichia capensis,Chordata,Aves
"Zonotrichia leucophrys (J.R.Forster, 1772)",Zonotrichia leucophrys,Chordata,Aves
"Zosterops capensis Sundevall, 1850",Zosterops capensis,Chordata,Aves
"Zosterops erythropleurus Swinhoe, 1863",Zosterops erythropleurus,Chordata,Aves
"Zosterops japonicus Temminck & Schlegel, 1845",Zosterops japonicus,Chordata,Aves
"Zosterops japonicus alani Hartert, 1905",Zosterops japonicus alani,Chordata,Aves
"Zosterops japonicus stejnegeri Seebohm, 1891",Zosterops japonicus stejnegeri,Chordata,Aves
"Zosterops lateralis (Latham, 1802)",Zosterops lateralis,Chordata,Aves
"Zosterops luteus Gould, 1843",Zosterops luteus,Chordata,Aves
"Zosterops modestus E.Newton, 1867",Zosterops modestus,Chordata,Aves
"Zosterops pallidus Swainson, 1838",Zosterops pallidus,Chordata,Aves
"Zosterops palpebrosus (Temminck, 1824)",Zosterops palpebrosus,Chordata,Aves
"Zosterops poliogastrus Heuglin, 1861",Zosterops poliogastrus,Chordata,Aves
"Ardea alba Linnaeus, 1758",Ardea alba,Chordata,Aves
"Ardea goliath Cretzschmar, 1829",Ardea goliath,Chordata,Aves
"Ardeola bacchus (Bonaparte, 1855)",Ardeola bacchus,Chordata,Aves
"Bostrychia hagedash (Latham, 1790)",Bostrychia hagedash,Chordata,Aves
"Bubulcus ibis (Linnaeus, 1758)",Bubulcus ibis,Chordata,Aves
"Butorides striata (Linnaeus, 1758)",Butorides striata,Chordata,Aves
"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,Chordata,Aves
"Egretta gularis (Bosc, 1792)",Egretta gularis,Chordata,Aves
"Egretta novaehollandiae (Latham, 1790)",Egretta novaehollandiae,Chordata,Aves
"Eudocimus albus (Linnaeus, 1758)",Eudocimus albus,Chordata,Aves
"Eudocimus ruber (Linnaeus, 1758)",Eudocimus ruber,Chordata,Aves
"Geronticus eremita (Linnaeus, 1758)",Geronticus eremita,Chordata,Aves
"Ixobrychus sinensis (Gmelin, 1789)",Ixobrychus sinensis,Chordata,Aves
"Nipponia nippon (Temminck, 1835)",Nipponia nippon,Chordata,Aves
"Nyctanassa violacea (Linnaeus, 1758)",Nyctanassa violacea,Chordata,Aves
"Nycticorax caledonicus (Gmelin, 1789)",Nycticorax caledonicus,Chordata,Aves
"Nycticorax nycticorax (Linnaeus, 1758)",Nycticorax nycticorax,Chordata,Aves
"Pelecanus conspicillatus Temminck, 1824",Pelecanus conspicillatus,Chordata,Aves
"Pelecanus crispus Bruch, 1832",Pelecanus crispus,Chordata,Aves
"Pelecanus erythrorhynchos Gmelin, 1789",Pelecanus erythrorhynchos,Chordata,Aves
"Pelecanus occidentalis Linnaeus, 1766",Pelecanus occidentalis,Chordata,Aves
"Pelecanus onocrotalus Linnaeus, 1758",Pelecanus onocrotalus,Chordata,Aves
"Pelecanus philippensis Gmelin, 1789",Pelecanus philippensis,Chordata,Aves
"Pelecanus rufescens Gmelin, 1789",Pelecanus rufescens,Chordata,Aves
"Platalea ajaja Linnaeus, 1758",Platalea ajaja,Chordata,Aves
"Platalea alba Scopoli, 1786",Platalea alba,Chordata,Aves
"Platalea leucorodia Linnaeus, 1758",Platalea leucorodia,Chordata,Aves
"Plegadis falcinellus (Linnaeus, 1766)",Plegadis falcinellus,Chordata,Aves
"Plegadis ridgwayi (Allen, 1876)",Plegadis ridgwayi,Chordata,Aves
"Scopus umbretta Gmelin, 1789",Scopus umbretta,Chordata,Aves
"Theristicus caudatus (Boddaert, 1783)",Theristicus caudatus,Chordata,Aves
"Theristicus melanopis (Gmelin, 1789)",Theristicus melanopis,Chordata,Aves
"Threskiornis aethiopicus (Latham, 1790)",Threskiornis aethiopicus,Chordata,Aves
"Threskiornis melanocephalus (Latham, 1790)",Threskiornis melanocephalus,Chordata,Aves
"Threskiornis molucca (Cuvier, 1829)",Threskiornis molucca,Chordata,Aves
"Threskiornis spinicollis (Jameson, 1835)",Threskiornis spinicollis,Chordata,Aves
"Phaethon aethereus Linnaeus, 1758",Phaethon aethereus,Chordata,Aves
"Phoeniconaias minor (É.Geoffroy Saint-Hilaire, 1798)",Phoeniconaias minor,Chordata,Aves
"Phoenicopterus chilensis Molina, 1782",Phoenicopterus chilensis,Chordata,Aves
"Phoenicopterus roseus Pallas, 1811",Phoenicopterus roseus,Chordata,Aves
"Phoenicopterus ruber Linnaeus, 1758",Phoenicopterus ruber,Chordata,Aves
"Colaptes auratus (Linnaeus, 1758)",Colaptes auratus,Chordata,Aves
"Dendrocopos leucotos (Bechstein, 1802)",Dendrocopos leucotos,Chordata,Aves
"Dendrocopos major (Linnaeus, 1758)",Dendrocopos major,Chordata,Aves
"Dendrocopos medius (Linnaeus, 1758)",Dendrocopos medius,Chordata,Aves
"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)",Dendrocopos syriacus,Chordata,Aves
"Dryocopus martius (Linnaeus, 1758)",Dryocopus martius,Chordata,Aves
"Megalaima asiatica (Latham, 1790)",Megalaima asiatica,Chordata,Aves
"Megalaima lineata (Vieillot, 1816)",Megalaima lineata,Chordata,Aves
"Melanerpes carolinus (Linnaeus, 1758)",Melanerpes carolinus,Chordata,Aves
"Ramphastos sulfuratus Lesson, 1830",Ramphastos sulfuratus,Chordata,Aves
"Ramphastos toco Statius Muller, 1776",Ramphastos toco,Chordata,Aves
"Ramphastos vitellinus Lichtenstein, 1823",Ramphastos vitellinus,Chordata,Aves
"Podiceps auritus (Linnaeus, 1758)",Podiceps auritus,Chordata,Aves
"Pelecanoides urinatrix (Gmelin, 1789)",Pelecanoides urinatrix,Chordata,Aves
"Phoebastria albatrus (Pallas, 1769)",Phoebastria albatrus,Chordata,Aves
"Thalassarche chrysostoma (J.R.Forster, 1785)",Thalassarche chrysostoma,Chordata,Aves
"Agapornis canus (Gmelin, 1788)",Agapornis canus,Chordata,Aves
"Agapornis fischeri Reichenow, 1887",Agapornis fischeri,Chordata,Aves
"Agapornis lilianae Shelley, 1894",Agapornis lilianae,Chordata,Aves
"Agapornis nigrigenis W.L.Sclater, 1906",Agapornis nigrigenis,Chordata,Aves
"Agapornis personatus Reichenow, 1887",Agapornis personatus,Chordata,Aves
"Agapornis pullarius (Linnaeus, 1758)",Agapornis pullarius,Chordata,Aves
"Agapornis roseicollis (Vieillot, 1818)",Agapornis roseicollis,Chordata,Aves
"Agapornis taranta (Stanley, 1814)",Agapornis taranta,Chordata,Aves
"Alisterus scapularis (Lichtenstein, 1816)",Alisterus scapularis,Chordata,Aves
"Amazona aestiva (Linnaeus, 1758)",Amazona aestiva,Chordata,Aves
"Amazona albifrons (Sparrman, 1788)",Amazona albifrons,Chordata,Aves
"Amazona amazonica (Linnaeus, 1766)",Amazona amazonica,Chordata,Aves
"Amazona auropalliata (Lesson, 1842)",Amazona auropalliata,Chordata,Aves
"Amazona autumnalis (Linnaeus, 1758)",Amazona autumnalis,Chordata,Aves
"Amazona barbadensis (Gmelin, 1788)",Amazona barbadensis,Chordata,Aves
"Amazona farinosa (Boddaert, 1783)",Amazona farinosa,Chordata,Aves
"Amazona festiva (Linnaeus, 1758)",Amazona festiva,Chordata,Aves
"Amazona finschi (P.L.Sclater, 1864)",Amazona finschi,Chordata,Aves
"Amazona guildingii (Vigors, 1837)",Amazona guildingii,Chordata,Aves
"Amazona leucocephala (Linnaeus, 1758)",Amazona leucocephala,Chordata,Aves
"Amazona ochrocephala (Gmelin, 1788)",Amazona ochrocephala,Chordata,Aves
"Amazona oratrix Ridgway, 1887",Amazona oratrix,Chordata,Aves
"Amazona pretrei (Temminck, 1830)",Amazona pretrei,Chordata,Aves
"Amazona tucumana (Cabanis, 1885)",Amazona tucumana,Chordata,Aves
"Amazona ventralis (Statius Muller, 1776)",Amazona ventralis,Chordata,Aves
"Amazona versicolor (Statius Muller, 1776)",Amazona versicolor,Chordata,Aves
