scientificName,Taxon_origName
Aliculastrum cylindricum,Aliculastrum cylindricum
Alitta succinea,Alitta succinea
Alitta virens,Alitta virens
Alkmaria romijni,Alkmaria romijni
Alkmaria romijni,Alkmaria rominji
Alloeocarpa loculosa,Alloeocarpa loculosa
Alopochen aegyptiaca,Alopochen aegyptiaca
Alosa aestivalis,Alosa aestivalis
Alosa caspia,Alosa caspia
Alosa caspia caspia,Alosa caspia
Alosa chrysochloris,Alosa chrysochloris
Alosa immaculata,Alosa immaculata
Alosa pseudoharengus,Alosa pseudoharengus
Alosa sapidissima,Alosa sapidissima
Alpheus dentipes,Alpheus dentipes
Alpheus edwardsii,Alpheus edwardsii
Alpheus inopinatus,Alpheus inopinatus
Alpheus lobidens,Alpheus lobidens
Alpheus migrans,Alpheus migrans
Alpheus rapacida,Alpheus rapacida
Aluterus monoceros,Aluterus monoceros
Aluterus scriptus,Aluterus scriptus
Alvania dorbignyi,Alvania dorbignyi
Amaranthus australis,Amaranthus australis
Amaranthus cannabinus,Amaranthus cannabinus
Amathia chimonidesi,Amathia chimonidesi
Amathia distans,Amathia distans
Amathia gracilis,Amathia gracilis
Amathia imbricata,Amathia imbricata
Amathia verticillata,Amathia verticillata
Amathina tricarinata,Amathina tricarinata
Amblyosyllis speciosa,Amblyosyllis speciosa
Ameira divagans divagans,Ameira divagans
Ameiurus catus,Ameiurus catus
Ameiurus melas,Ameiurus melas
Ameiurus nebulosus,Ameiurus nebulosus
Americorophium triaeonyx,Americorophium triaeonyx
Ammonia tepida,Ammonia tepida
Ammophila arenaria,Ammophila arenaria
Ammothea hilgendorfi,Ammothea hilgendorfi
Ammothella appendiculata,Ammothella appendiculata
Ammothella pacifica,Ammothella pacifica
Ampelisca abdita,Ampelisca abdita
Ampelisca heterodactyla,Ampelisca heterodactyla
Amphibalanus amphitrite,Amphibalanus amphitrite
Amphibalanus amphitrite amphitrite,Amphibalanus amphitrite
Amphibalanus amphitrite amphitrite,Amphibalanus amphitrite amphitrite
Amphibalanus eburneus,Amphibalanus eburneus
Amphibalanus improvisus,Amphibalanus improvisus
Amphibalanus reticulatus,Amphibalanus reticulatus
Amphibalanus subalbidus subalbidus,Amphibalanus subalbidus
Amphibalanus subalbidus,Amphibalanus subalbidus
Amphibalanus variegatus,Amphibalanus variegatus
Amphibalanus venustus,Amphibalanus venustus
Amphicorina pectinata,Amphicorina pectinata
Amphidinium carterae,Amphidinium carterae
Amphidinium operculatum,Amphidinium operculatum
Amphilectus fucorum,Amphilectus fucorum
Amphimedon chloros,Amphimedon chloros
Amphioctopus aegina,Amphioctopus aegina
Amphioplus (Lymanella) laevis,Amphioplus laevis
Amphipholis squamata,Amphipholis squamata
Amphiprion akindynos,Amphiprion akindynos
Amphiprion allardi,Amphiprion allardi
Amphiprion chrysopterus,Amphiprion chrysopterus
Amphiprion nigripes,Amphiprion nigripes
Amphiprion ocellaris,Amphiprion ocellaris
Amphiroa rigida,Amphiroa rigida
Amphisbetia maplestonei,Amphisbetia maplestonei
Amphisbetia operculata,Amphisbetia operculata
Amphisorus hemprichii,Amphisorus hemprichii
Amphistegina lessonii,Amphistegina lessonii
Amphistegina lobifera,Amphistegina lobifera
Amphogona pusilla,Amphogona pusilla
Amphora quadrata,Amphora quadrata
Amphorellopsis acuta,Amphorellopsis acuta
Ampithoe longimana,Ampithoe longimana
Ampithoe pollex,Ampithoe pollex
Ampithoe valida,Ampithoe valida
Ampullaceana balthica,Ampullaceana balthica
Amylax triacantha,Amylax triacantha
